iter	Passed	Remaining
730	29235	10758
731	29276	10718
732	29316	10678
733	29357	10639
734	29399	10599
735	29439	10559
736	29480	10520
737	29520	10480
738	29561	10440
739	29602	10400
740	29643	10361
741	29683	10321
742	29723	10281
743	29763	10241
744	29803	10201
745	29843	10161
746	29885	10121
747	29925	10081
748	29965	10041
749	30005	10001
750	30046	9962
751	30086	9922
752	30127	9882
753	30168	9842
754	30209	9803
755	30250	9763
756	30291	9723
757	30331	9683
758	30373	9644
759	30415	9604
760	30455	9565
761	30494	9524
762	30535	9484
763	30575	9444
764	30616	9404
765	30657	9365
766	30698	9325
767	30739	9285
768	30780	9246
769	30821	9206
770	30862	9166
771	30905	9127
772	30946	9087
773	30987	9047
774	31027	9007
775	31068	8968
776	31108	8928
777	31148	8888
778	31188	8847
779	31228	8808
780	31268	8767
781	31308	8727
782	31347	8687
783	31394	8649
784	31435	8609
785	31475	8569
786	31515	8529
787	31556	8489
788	31597	8450
789	31638	8410
790	31680	8370
791	31720	8330
792	31760	8290
793	31800	8250
794	31841	8210
795	31885	8171
796	31925	8131
797	31964	8091
798	32005	8051
799	32045	8011
800	32086	7971
801	32127	7931
802	32168	7891
803	32207	7851
804	32247	7811
805	32287	7771
806	32327	7731
807	32370	7691
808	32411	7652
809	32451	7612
810	32491	7572
811	32532	7532
812	32573	7492
813	32614	7452
814	32654	7412
815	32694	7372
816	32734	7332
817	32774	7292
818	32815	7252
819	32855	7212
820	32898	7172
821	32940	7133
822	32979	7092
823	33019	7052
824	33059	7012
825	33101	6972
826	33141	6932
827	33184	6893
828	33224	6853
829	33264	6813
830	33304	6773
831	33345	6733
832	33387	6693
833	33428	6653
834	33468	6613
835	33509	6573
836	33549	6533
837	33589	6493
838	33632	6453
839	33672	6413
840	33712	6373
841	33751	6333
842	33790	6293
843	33829	6252
844	33869	6212
845	33909	6172
846	33948	6132
847	33988	6092
848	34027	6052
849	34067	6011
850	34107	5971
851	34146	5931
852	34185	5891
853	34225	5851
854	34264	5810
855	34303	5770
856	34343	5730
857	34384	5690
858	34424	5650
859	34464	5610
860	34504	5570
861	34543	5530
862	34582	5489
863	34621	5449
864	34660	5409
865	34700	5369
866	34740	5329
867	34779	5288
868	34818	5248
869	34859	5208
870	34899	5168
871	34939	5128
872	34977	5088
873	35016	5048
874	35056	5008
875	35096	4967
876	35136	4927
877	35175	4887
878	35215	4847
879	35254	4807
880	35293	4767
881	35332	4726
882	35373	4687
883	35413	4646
884	35452	4606
885	35491	4566
886	35531	4526
887	35570	4486
888	35611	4446
889	35651	4406
890	35690	4366
891	35730	4326
892	35769	4285
893	35809	4245
